Link: https://yugioh.fandom.com/wiki/Yu-Gi-Oh!_BAM/Transcript

Contents 
 
 1   Series 1 - Alba Litora 
 
 1.1   World Map 
 1.2   1. Uncharted Territory 
 
 1.2.1   Story 
 1.2.2   Duel 
 1.2.3   Tutorial 
 
 
 1.3   2. A Taste of Things to Come 
 
 1.3.1   Story 
 1.3.2   Duel 
 1.3.3   Tutorial 
 
 
 1.4   3. Best Enemies Forever 
 
 1.4.1   Story 
 1.4.2   Duel 
 1.4.3   Tutorial 
 
 
 1.5   4. Ambushed 
 
 1.5.1   Story 
 1.5.2   Duel 
 
 
 1.6   5. New Friends 
 
 1.6.1   Story 
 1.6.2   Duel 
 
 
 1.7   5.1. Yusei's Extreme Challenge 
 
 1.7.1   Story 
 1.7.2   Duel 
 
 
 1.8   6. Former Friends? 
 
 1.8.1   Story 
 1.8.2   Duel 
 
 
 1.9   7. The Plot Thickens 
 
 1.9.1   Story 
 1.9.2   Duel 
 
 
 1.10   8. Storming the Hideout 
 
 1.10.1   Story 
 1.10.2   Duel 
 
 
 1.11   8.1. Yugi's Expert Challenge! 
 
 1.11.1   Story 
 1.11.2   Duel 
 
 
 1.12   9. Escape! 
 
 1.12.1   Story 
 1.12.2   Duel 
 
 
 1.13   10. On the Hunt - Yet Again! 
 
 1.13.1   Story 
 1.13.2   Duel 
 
 
 1.14   10.1. Seto's Arena Training 
 
 1.14.1   Story 
 1.14.2   Duel 
 
 
 1.15   11. Three's a "CROWd" 
 
 1.15.1   Story 
 1.15.2   Duel 
 
 
 1.16   11.1 The Ruin 
 
 1.16.1   Story 
 1.16.2   Duel 
 
 
 1.17   12. Versus 
 
 1.17.1   Story 
 1.17.2   Duel 
 
 
 1.18   13. Self-Destruct 
 
 1.18.1   Story 
 1.18.2   Duel 
 
 
 1.19   14. Wanted 
 
 1.19.1   Story 
 1.19.2   Duel 
 
 
 1.20   15. An Unexpected Ally 
 
 1.20.1   Story 
 1.20.2   Duel 
 
 
 1.21   16. Undercover 
 
 1.21.1   Story 
 1.21.2   Duel 
 
 
